Team,Catcher,Infield,Outfield,Pitching,Wins,All_in,Believers,One_foot_in,Skeptics,ISA,Playoff(binary),Rated,Totalpayroll,StTotalPayroll,LogTotalpayroll,RatedWithZero,Analytics_staff,Research_staff,PECOTA,Zips,Bleacher,Steamer,Dav,TeamRankings,Prev_Wins,Highest_pick,Number_of_picks
Arizona Diamondbacks,4528113,12186788,9041369,51008697,93,0,0,0,1,1,1,2,119773775,-0.700766182,18.60111531,2,2,4,78,77,81,77,78,78,69,7,3
Atlanta Braves,5349073,24842221,24352447,26169693,72,0,0,0,1,1,0,,115455675,-0.794318503,18.56439725,0,1,1,76,68,76,74,75,75,68,5,2
Baltimore Orioles,6790613,54198450,25162141,67503842,75,0,1,0,0,3,0,,182523427,0.658714976,19.02238909,0,2,2,73,80,83,79,79,79,89,21,3
Boston Red Sox,1951613,29538875,12877693,93768937,93,1,0,0,0,4,1,2,222582008,1.526590483,19.22080617,2,0,4,90,93,97,92,82,90,93,24,2
Chicago Cubs,1951945,26527201,38474445,94174243,92,1,0,0,0,4,1,3,182400336,0.65604819,19.02171448,3,0,5,91,98,101,94,96,93,103,27,2
Chicago White Sox,1098293,12987225,4354637,13563228,67,0,0,1,0,2,0,,94889688,-1.239883871,18.3682256,0,0,0,76,73,64,70,72,72,78,11,2
Cincinnati Reds,1212305,31075613,4677951,27602078,68,0,0,0,1,1,0,,115323803,-0.797175531,18.56325441,0,0,0,74,73,67,70,72,71,68,2,3
Cleveland Indians,5348946,23532883,21074978,50998846,102,1,0,0,0,4,1,2,139412798,-0.275283635,18.75294986,2,0,3,92,87,100,91,93,91,94,64,2
Colorado Rockies,3804064,20289215,44152406,36783399,87,0,0,0,1,1,1,1,146651941,-0.118446455,18.80357259,1,0,2,76,82,84,79,75,79,75,48,2
Detroit Tigers,932090,48121949,1452143,40629138,64,0,0,0,1,1,0,,198716174,1.009533406,19.1073881,0,2,2,78,81,84,82,83,81,86,18,2
Houston Astros,17012761,21071044,23617367,54835210,101,1,0,0,0,4,1,5,149964177,-0.046686337,18.825907,5,0,3,93,90,91,90,95,90,84,15,4
Kansas City Royals,5837381,28905367,34297791,52888152,80,0,1,0,0,3,0,,158941822,0.147815765,18.88404879,0,3,3,71,77,77,77,71,76,81,14,3
Los Angeles Angels,2353834,17719577,33466246,29646168,80,0,0,1,0,2,0,,176337209,0.524689582,18.98790868,0,1,7,78,77,78,84,82,79,74,10,2
Los Angeles Dodgers,6107229,46195745,31124566,100856551,104,0,1,0,0,3,1,4,265682625,2.460372183,19.39781302,4,0,1,98,93,87,95,97,93,91,23,2
Miami Marlins,3062500,12131178,23500000,33666633,77,0,0,0,0,0,0,,121457599,-0.664285868,18.61507578,0,0,0,77,75,83,79,80,76,79,13,3
Milwaukee Brewers,2786655,10090989,21830344,22870942,86,0,0,1,0,2,0,,83488679,-1.486888539,18.2402216,0,0,2,76,74,62,68,74,72,73,9,3
Minnesota Twins,9581535,33673914,2473954,29887046,85,0,0,0,1,1,1,1,135654177,-0.356714755,18.72561939,1,0,3,80,78,69,74,76,76,59,1,3
New York Mets,2161454,11926206,5138271,29510539,70,0,1,0,0,3,0,,154829658,0.05872508,18.85783609,0,0,1,88,85,86,84,85,88,87,20,2
New York Yankees,1456436,35417814,35809196,79143450,91,1,0,0,0,4,1,3,220658752,1.484922837,19.21212796,3,0,5,81,81,81,83,80,82,84,16,2
Oakland Athletics,1088678,8921234,11005168,10708737,75,1,0,0,0,4,0,,85977680,-1.432963937,18.26959829,0,0,1,75,73,63,77,79,74,69,6,3
Philadelphia Phillies,1272457,11519385,4310724,6033368,66,0,0,0,0,0,0,,116874208,-0.763585761,18.57660877,0,0,4,74,67,73,71,70,74,71,8,2
Pittsburgh Pirates,1785836,14082485,23166329,25161663,75,1,0,0,0,4,0,,109840330,-0.915975842,18.51453832,0,0,6,81,83,82,82,81,82,78,12,4
San Diego Padres,1863022,10228471,2411212,10427719,71,0,1,0,0,3,0,,91963878,-1.303272009,18.33690643,0,0,1,70,65,57,66,65,67,68,3,3
San Francisco Giants,24288851,9727081,34026115,103750737,64,0,0,1,0,2,0,,197523209,0.983687631,19.10136665,0,0,0,86,88,92,87,86,87,87,19,2
Seattle Mariners,5107703,49196827,4666601,53399852,78,0,0,1,0,2,0,,171355830,0.416767216,18.95925283,0,0,0,87,85,88,83,86,85,86,17,2
St. Louis Cardinals,14503992,20357571,19501028,53599363,83,1,0,0,0,4,0,,148654185,-0.075067521,18.81713326,0,0,3,76,85,90,84,80,83,86,94,0
Tampa Bay Rays,4720613,21601130,8576878,25370073,80,1,0,0,0,4,0,,91016605,-1.323794828,18.32655252,0,2,6,84,82,70,82,82,80,68,4,2
Texas Rangers,2272277,41311947,33470022,49310939,78,0,0,1,0,2,0,,176899040,0.53686174,18.99108973,0,0,2,84,84,85,83,81,84,95,26,3
Toronto Blue Jays,27593141,24841308,26151649,36835971,76,0,1,0,0,3,0,,199430487,1.025009111,19.1109763,0,0,0,81,87,86,83,85,84,89,22,3
Washington Nationals,12302994,38403001,39788350,73945507,97,0,1,0,0,3,1,2,189292654,0.805371352,19.05880481,2,0,5,87,89,93,90,90,90,95,25,2
